Timestamp,BTU10(Z21+22+23+24+25+26+27)_ReturnT (C),BTU10(Z21+22+23+24+25+26+27)_SupplyT (C),BTU11(Z32+33)_ReturnT (C),BTU11(Z32+33)_SupplyT (C),BTU13(Z31)_ReturnT (C),BTU13(Z31)_SupplyT (C),BTU5(Z2+3+4+5)_ReturnT (C),BTU5(Z2+3+4+5)_SupplyT (C),BTU6(Z1)_ReturnT (C),BTU6(Z1)_SupplyT (C),BTU7(Z14+15+16+17)_ReturnT (C),BTU7(Z14+15+16+17)_SupplyT (C),BTU8(Z11+12+13)_ReturnT (C),BTU8(Z11+12+13)_SupplyT (C),BTU10(Z21+22+23+24+25+26+27)_energy (kBTU/h),BTU10(Z21+22+23+24+25+26+27)_flow (GPM),BTU11(Z32+33)_energy (kBTU/h),BTU11(Z32+33)_flow (GPM),BTU13(Z31)_energy (kBTU/h),BTU13(Z31)_flow (GPM),BTU5(Z2+3+4+5)_energy (kBTU/h),BTU5(Z2+3+4+5)_flow (GPM),BTU6(Z1)_energy (kBTU/h),BTU6(Z1)_flow (GPM),BTU7(Z14+15+16+17)_energy (kBTU/h),BTU7(Z14+15+16+17)_flow (GPM),BTU8(Z11+12+13)_energy (kBTU/h),BTU8(Z11+12+13)_flow (GPM)
2023-06-03 09:00:00-04:00,21.26260312,20.97663943,21.34676587,21.10791743,21.59566795,21.61194144,19.42699461,19.79516474,20.18361925,19.81742555,20.57034471,21.16686877,21.05236703,20.39307524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 10:00:00-04:00,21.32711474,21.07487523,21.32447765,21.19313523,21.82553058,21.88200393,19.51376209,19.90674754,20.35072524,19.96915337,20.57648129,21.15779658,21.12436697,20.54992365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 11:00:00-04:00,21.37747383,21.15656217,21.32056378,21.27544537,22.0364281,22.10099044,19.58764684,19.99736334,20.50745236,20.11687752,20.59268379,21.15392205,21.20125114,20.68535798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 12:00:00-04:00,21.41323097,21.19771315,21.32242591,21.34869342,22.21160253,22.27349959,19.65292542,20.07220247,20.65089537,20.25783094,20.61942673,21.15123975,21.26194085,20.80056869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 13:00:00-04:00,21.44587022,21.21969138,21.33616137,21.4073576,22.3577132,22.41437417,19.70863759,20.1312258,20.77584768,20.38323056,20.64708258,21.14597857,21.31946451,20.89682628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 14:00:00-04:00,21.4759642,21.24962884,21.35573755,21.44800362,22.47769749,22.52832855,19.75387067,20.17780074,20.88206749,20.49358698,20.67637,21.14443759,21.37256004,20.97849876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 15:00:00-04:00,21.49597829,21.27401963,21.37652306,21.47790413,22.56504989,22.60574233,19.7886148,20.21347595,20.97244891,20.59308891,20.70064365,21.14250384,21.42005691,21.04433049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 16:00:00-04:00,21.51056622,21.29443953,21.39569021,21.50283128,22.62945465,22.65980819,19.81204937,20.23669511,21.04798268,20.67895444,20.72019888,21.14245994,21.46160627,21.09810645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 17:00:00-04:00,21.52258958,21.31003521,21.41063846,21.52059004,22.66688665,22.68822543,19.82999187,20.24969002,21.10687044,20.74678435,20.73248524,21.13714409,21.49807337,21.14311925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-03 18:00:00-04:00,21.52978092,21.32102641,21.420533,21.53010785,22.68593894,22.70265586,19.84158685,20.25308411,21.15667435,20.8080036,20.74465081,21.13394109,21.52868688,21.18156589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
